STATION,Date,DAPR,MDPR,Precmm,SNOW,SNWD,TMAX,TMIN,TOBS
USC00312200,12/4/15,,,0,,,8.9,-4.4,-4.4
USC00312200,12/5/15,,,0,,,11.7,-5,-2.2
USC00312200,12/6/15,,,0,,,13.9,-4.4,-1.1
USC00312200,12/7/15,,,0,,,13.9,-1.7,1.1
USC00312200,12/8/15,,,0,,,13.9,-2.2,-1.7
USC00312200,12/9/15,,,0,,,13.9,-2.2,-1.7
USC00312200,12/10/15,,,0,,,13.3,-1.7,3.9
USC00312200,12/11/15,,,0,,,16.7,3.9,5
USC00312200,12/12/15,,,0,,,19.4,5,7.2
USC00312200,12/13/15,,,0,,,21.7,5.6,5.6
USC00312200,12/14/15,,,1.3,,,20.6,5.6,16.7
USC00312200,12/15/15,,,4.8,,,18.9,1.7,1.7
USC00312200,12/16/15,,,0,,,18.3,-0.6,-0.6
USC00312200,12/17/15,,,8.4,,,20,-0.6,11.1
USC00312200,12/18/15,,,2.5,,,15.6,2.2,3.9
USC00312200,12/19/15,,,0,,,5.6,-6.7,-6.7
USC00312200,12/20/15,,,0,,,7.2,-7.2,4.4
USC00312200,12/21/15,,,0,,,12.8,1.1,2.2
USC00312200,12/22/15,,,15.2,,,12.2,2.2,11.1
USC00312200,12/23/15,,,0.8,,,18.9,10.6,13.3
USC00312200,12/24/15,,,86.9,,,17.8,13.3,15.6
USC00312200,12/25/15,,,47,,,17.2,14.4,16.7
USC00312200,12/26/15,,,17.8,,,19.4,12.8,19.4
USC00312200,12/27/15,,,2.5,,,22.8,13.3,16.1
USC00312200,12/28/15,,,5.8,,,22.2,12.2,18.3
USC00312200,12/29/15,,,47.8,,,19.4,11.1,11.1
USC00312200,12/30/15,,,0.5,,,21.7,7.8,10.6
USC00312200,12/31/15,,,16.5,,,13.3,10.6,10.6
USC00312200,1/1/16,,,0,,,17.2,4.4,6.7
USC00312200,1/2/16,,,0,,,7.8,-3.9,-3.9
USC00312200,1/3/16,,,0,,,7.2,-5,-0.6
USC00312200,1/4/16,,,0,,,7.2,-4.4,-1.7
USC00312200,1/5/16,,,0,,,2.2,-8.3,-8.3
USC00312200,1/6/16,,,0,,,5.6,-8.9,-8.3
USC00312200,1/7/16,,,0,,,8.9,-8.9,1.1
USC00312200,1/8/16,,,3.3,,,14.4,0.6,6.1
USC00312200,1/9/16,,,0,,,10.6,3.9,6.7
USC00312200,1/10/16,,,6.4,,,11.1,3.9,5
USC00312200,1/11/16,,,0,,,5.6,-8.9,-8.9
USC00312200,1/12/16,,,0,,,3.3,-8.9,-6.7
USC00312200,1/13/16,,,0,,,6.7,-7.2,-6.1
USC00312200,1/14/16,,,0,,,6.7,-6.7,-6.7
USC00312200,1/15/16,,,0,,,12.2,-6.7,-0.6
USC00312200,1/16/16,,,33,,,4.4,-0.6,2.2
USC00312200,1/17/16,,,0,0,0,11.1,-0.6,0.6
USC00312200,1/18/16,,,0,,0,5.6,-6.1,-6.1
USC00312200,1/19/16,,,0,,,-2.2,-11.7,-11.7
USC00312200,1/20/16,,,0,3,0,1.1,-11.7,-3.9
USC00312200,1/21/16,,,8.9,46,51,-0.6,-4.4,-0.6
USC00312200,1/22/16,,,30.5,89,102,3.9,-1.1,-1.1
USC00312200,1/23/16,,,6.6,13,51,0.6,-5.6,-5.6
USC00312200,1/24/16,,,0,0,51,-2.2,-12.8,-2.8
USC00312200,1/25/16,,,0,0,51,4.4,-6.7,-6.1
USC00312200,1/26/16,,,0,0,25,10.6,-6.1,1.7
USC00312200,1/27/16,,,4.6,0,25,10.6,-6.1,2.8
USC00312200,1/28/16,,,0,0,0,8.3,-2.8,-2.8
USC00312200,1/29/16,,,0,0,0,8.3,-3.3,2.8
USC00312200,1/30/16,,,0,0,0,10,-5.6,-5
USC00312200,1/31/16,,,0,0,0,16.1,-5.6,-2.8
USC00312200,2/1/16,,,0,0,0,18.3,-2.8,7.8
USC00312200,2/2/16,,,0,0,0,20,7.8,9.4
USC00312200,2/3/16,,,30.5,,,18.9,9.4,15
USC00312200,2/4/16,,,10.4,,,18.3,0.6,0.6
USC00312200,2/5/16,,,0,,,12.2,-2.8,-2.8
USC00312200,2/6/16,,,0,,,6.7,-6.1,-6.1
USC00312200,2/7/16,,,0,,,7.8,-6.7,-6.7
USC00312200,2/8/16,,,0,,,10,-6.7,-3.3
